timestamp,latitude,longitude,title,description
2025-10-28T12:39:00Z,37.8195,-122.4334,Marin Headlands,Rolling hills with spectacular bay views
2025-10-28T12:42:00Z,37.8205,-122.4344,Hawk Hill,Popular spot for watching migrating birds
2025-10-28T12:45:00Z,37.8215,-122.4354,Point Bonita Lighthouse,Historic lighthouse on rocky promontory
2025-10-28T12:48:00Z,37.8225,-122.4364,Rodeo Beach,Wild beach in the Marin Headlands
2025-10-28T12:51:00Z,37.8235,-122.4374,Tennessee Valley,Hiking trail leading to secluded beach
2025-10-28T12:54:00Z,37.8245,-122.4384,Muir Woods Approach,Road leading to the famous redwood forest
2025-10-28T12:57:00Z,37.8255,-122.4394,Mill Valley,Charming Marin County town with mountain views
2025-10-28T13:00:00Z,37.8265,-122.4404,Mount Tamalpais State Park,Mountain park with hiking trails and vistas
2025-10-28T13:03:00Z,37.8275,-122.4414,Stinson Beach,Popular beach town north of the city
2025-10-28T13:06:00Z,37.8285,-122.4424,Bolinas,Artistic coastal community known for privacy
2025-10-28T13:09:00Z,37.8295,-122.4434,Point Reyes Station,Small town gateway to Point Reyes National Seashore
2025-10-28T13:12:00Z,37.8305,-122.4444,Olema,Historic town in the Point Reyes area
2025-10-28T13:15:00Z,37.8315,-122.4454,Bear Valley Visitor Center,Information center for Point Reyes
2025-10-28T13:18:00Z,37.8325,-122.4464,Point Reyes Lighthouse,Historic lighthouse on dramatic coastline
2025-10-28T13:21:00Z,37.8335,-122.4474,Drakes Beach,Sandy beach in Point Reyes National Seashore
2025-10-28T13:24:00Z,37.8345,-122.4484,Chimney Rock,Scenic overlook and elephant seal viewing area
